Movie Name,Original Language - Year of Release,Overview,MDL Rating
One Win,Korean Movie - 2023,"Volleyball coach Kim Woo Jin, who has never tasted a single success in his life, runs a volleyball class for children who are going to fail and takes over the women's volleyball team just before disbandment. This man's…",
Marry Me,Chinese Movie - 2023,"Car mechanic Li Da Jun and manicurist Liu Mei, two young people who are in love with each other, set a wedding date at the engagement party, but at the same time, Li Da Jun also received a challenge from his father-in-law,…",
Coin Laundry Catharsis,Japanese Movie - 2023,"Boku (I) spends his time reminiscing about Kimi (you) in the laundromat, hoping to see her again. Despite the expectation, the person who appears before Boku is a mysterious man in a black suit. The man looks dangerous,…",
Answer,Korean Movie - 2023,"Cats talk sometimes.

(Source: Horror BBababam 호러빠바밤 YouTube)",
Bela Luna,Filipino Movie - 2023,"A film with two different stories about two different women who are more connected than it seems.

(Source: MyDramaList)",6.0
White River,Korean Movie - 2023,"Yang Fan lives in Yanjiao, separated from Beijing by the White River. Her routine of cooking, cleaning and observing quarantine rules is disrupted when she becomes entangled in an erotic web between herself, her husband…",6.4
Aporia,Korean Movie - 2023,"The film depicts a Syrian refugee's rough journey to meet his family after fleeing his country from a civil war.

(Source: HanCinema)",
GinaGina,Japanese Movie - 2023,"Kimura Makoto is a newly minted actor whose work is threatened due to the Covid-19 pandemic. Using subsidies and grants, he tries to make an action film, but an on-set injury forces the production to be called off, and…",
Hello Mammmon 4,Chinese Movie - 2023,,
Adulting at Eighteen,Korean Movie - 2023,"Feisty adult, Yoon Seo, ""You don't have to be thankful to me."" Young man without dreams, Soo Chan, ""It's nice to have someone who believes in you at least once."" To Yoon Seo, an interviewer for the City Hall periodical,…",7.0
Tid Noi: More Than True Love,Thai Movie - 2023,"The true love legend of Tid Noi, a man who devote his heart to Nak, a gorgeous girl of the era. They have been friends since childhood. Tid Noi dedicates all to take care of his loved one. Nak respects him as a big brother,…",6.9
Nihon Toitsu 55,Japanese Movie - 2023,,
Think? What's That?,Korean Movie - 2023,"One weekend at the studio shooting site, actress Ji Woo and director Ha Na meet. Ji Woo wants to finish filming quickly and go home. What does one do?

(Source: HanCinema)",
Shitamachi Ninkyoden Taka 7,Japanese Movie - 2023,,
Ping-Pong of China,Chinese Movie - 2023,"In the early 1990s, when the Chinese men's table tennis team is at a low ebb, head coach Cai Zhen Hua is tasked with forming a new team to finally fight to the top at the 1995 World Ping Championship in Tianjin, China.…",7.9
The King of Sniper: Assassination,Chinese Movie - 2023,"The movie tells the story of the talented female sniper Anna who is forced to accept the assassination mission, and gradually awakens into a kind and loving justice fighter during the execution process. The joint military…",7.5
The Northeastern Bro 2: Endless Love,Chinese Movie - 2023,"This film tells the story of a love affair that takes place in the Northeast in the early 1990s. Xu Tie, a young and exuberant private minibus driver, falls in love with Lisa Chen, a dancer from a wealthy family, but…",
Goodbye 2,Chinese Movie - 2023,,
Hidden Blade,Chinese Movie - 2023,"Follows the story of underground workers who risked their lives to send intelligence and defend the motherland, set after Japan's attack on Pearl Harbor when the Wang Jingwei regime declared war on Britain and the U.S.…",8.2
The Wandering Earth 2,Chinese Movie - 2023,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for…",7.8
Five Hundred Miles,Chinese Movie - 2023,"The introverted Lu Xiao Gu accidentally breaks into a bizarre fantasy journey. During the journey, he encounters his friend Xiao Pang, with whom he previously had conflicts with due to misunderstandings. (Source: Chinese…",7.4
Full River Red,Chinese Movie - 2023,"A pawn tries to get rid of a traitorous minister, Qin Hui, when he leads an army to the border for talks with a Jurchen mission. 

(Source: IMDB)",7.7
Look Up and See Joy,Chinese Movie - 2023,It tells the story of middle-aged laid-off employees who do not bow their heads to fate and inspire their entrepreneurship. The grandson uses the metaverse technology to reunite the grandfather and the deceased grandma.…,7.5
Where Is the Lie?,Filipino Movie - 2023,"Hopeless romantic Janzen Torres finds another chance at love when she matches with the handsome and seemingly perfect Theo Balmaceda on a dating app. Unfortunately, on the day of their meet-up, Theo ghosts her, leading…",
Past Lives,Korean Movie - 2023,"Nora and Hae Sung, two deeply connected childhood friends, are wrest apart after Nora's family emigrates from South Korea. 20 years later, they are reunited for one fateful week as they confront notions of love and destiny.…",8.2
Our First Time,Thai Movie - 2023,"Sud Yod, a famous live online game streamer who has an office syndrome in which he has sit for a long time in front of the computer, has received a gift voucher of a free special 2-hour hotoil massage from a famous massage…",6.1
In My Mother’s Skin,Filipino Movie - 2023,"Stranded in the Philippines during World War II, a young girl finds that her duty to protect her dying mother is complicated by her misplaced trust in a beguiling, flesh-eating fairy. (Source: IMDb) ~~ Co-production…",6.8
Mad Cats,Japanese Movie - 2023,"Taka, a shiftless young man, sets off on a quest to find his brother, Mune. Teaming up with a quirky new friend and an edgy, mysterious young girl along the way, Taka finds himself taking on a pack of vicious monster…",6.5
A Guilty Conscience,Hong Kong Movie - 2023,"A case of an international supermodel suspected of abusing her daughter has become a playground between the legal profession and the celebrities. A famous family, at the top of the social pyramid, uses all its power…",7.7
Crawling in the Ocean Called Little Manhattan,Japanese Movie - 2023,"This film depicts the exhausting life of a young man who works at a company during the day and a factory at night. Horrible co-workers, tiredness, and chaos mark his days. 

(Source: genkinahito.wordpress.com)",
Afterglows,Japanese Movie - 2023,"Teru’s wife Sayuri committed suicide due to rumors of her having an affair being spread around. He now lives the life of a lonely taxi driver whose only connection to the world is a radio program. Then, a woman who…",
Jung_E,Korean Movie - 2023,"Set in the 22nd century, climate change has caused the planet to become uninhabitable and humans live within a man-made shelter. A war takes place within the shelter. Jung Yi is the elite leader of the allied forces.…",7.0
Everything under Control,Hong Kong Movie - 2023,"During an epic diamond heist, a notorious thief is betrayed by a rogue agent who escapes alone with the stones. Enraged, he forces two guards to help him track down the mole. Hilarity ensues whilst, on the hunt, the…",6.7
Scamsgiving,Taiwanese Movie - 2023,"Jason and his mother, Yun, make big bucks together in Chinatown swindling money out of people since Jason was little. Along with the grocery store owner Andy who took them in since Jason was a baby, they decide to do…",7.0
Tag-Init,Filipino Movie - 2023,"During his summer vacation, Martin meets two women that would let him explore his manhood - Adele, the politician's kept woman and Nadine, the sexually-active Manila girl.

(Source: Vivamax)",5.9
Maku wo Orosu na!,Japanese Movie - 2023,"Shogun Tokugawa Tsunayoshi is running the show, and on the streets of Edo, ronins are gathering, all spoiling for a fight. Kinokuniya Bunzaemon, a.k.a. Bunta, and his partner Chikamatsu Monzaemon, a.k.a. Monta, save…",
Say I Do to Me,Hong Kong Movie - 2023,"Attractive comedienne Ping vows to become a viral YouTuber. She concocts a plan to put on a show of marrying herself in what was meant to secure both money and likes.

(Source: Haven Productions)",6.9
Sakra,Hong Kong Movie - 2023,"When a respected martial artist is accused of killing, he goes around in search of answers about his own mysterious origin story and the unknown enemies working to destroy him. (Source: IMDb) ~~ Adapted from the novel…",7.4
Sarasin Bridge of Love 2216,Thai Movie - 2023,"Thamrong, a young man working as a bus driver and rubber tapper, meets Iu, a university teaching student raised by a strict father. Their love comes to a dead end when Iu's father forces her to marry someone wealthy.…",
Love Letter,Korean Movie - 2023,"Would you like to receive the letter? 

(Source: Horror BBababam 호러빠바밤 YouTube channel)",
"Ai Kai, Wat Chedi Boy",Thai Movie - 2023,,
Super Junior: The Last Man Standing,Korean Movie - 2023,"Super Junior: The Last Man Standing captures the story of Super Junior's birth and debut, from the intense trainee days, through the beginning of the large project group 'Super Junior 05' that has never been seen before,…",8.2
Phantom,Korean Movie - 2023,"An action-espionage film set in 1933, during the Japanese colonization of Korea. The film will tell the story of five suspects who are under suspicion of being the mysterious “Ghost,” a spy for the anti-Japanese…",7.6
