Most Popular Drama,Drama Rank,Drama Name,Original Language - Year of Release,Overview,Episodes,MDL Rating
118,#189,SKY Castle,Korean Drama - 2018,"Han Seo Jin, Noh Seung Hye, Jin Jin Hee, and Lee Myung Joo all live with their families in SKY Castle, a luxury private neighborhood hosting wealthy doctors and professors. All of the women wish for their children to…",20 episodes,8.8
119,#283,Dr. Romantic,Korean Drama - 2016,Kim Sa Bu was once a famous surgeon at the peak of his career at a major hospital. But he suddenly gives it all up one day to live in seclusion and work as a neighborhood doctor in a small town. He now goes by “Teacher…,20 episodes,8.7
120,#947,Sh**ting Stars,Korean Drama - 2022,"As one of the nation’s most beloved stars, Gong Tae Sung is used to living his life in the spotlight. With the eyes of the world constantly on him, Tae Sung does his best to keep a smile on his face and his temper…",16 episodes,8.3
121,#350,Falling into Your Smile,Chinese Drama - 2021,"In the ultra-competitive world of e-sports, the all-male ZGDX OPL team is second to none. Armies of adoring female fans follow the team wherever it goes. But when one of the team’s star players suffers a hand injury,…",31 episodes,8.6
122,#3813,Introverted Boss,Korean Drama - 2017,"When a young, energetic employee joins a public relations firm with an introverted and severely misunderstood boss, she makes it her life’s mission to show the world who he really is. Chae Ro Un has one simple goal…",16 episodes,7.7
123,#537,Save Me,Korean Drama - 2017,"Following the failure of her father's business, Sang Mi and her family move to Muji-gun, where they have no friends or relatives. There she meets four young men, Han Sang Hwan, Seok Dong Cheol, Woo Jung Hoon, and Choi…",16 episodes,8.5
124,#2095,KinnPorsche,Thai Drama - 2022,"The second son of a Mafia boss, Kinn Theerapanyakul, is fleeing from an enemy when he meets Porsche, an enterprising young bartender. Porsche agrees to help defend Kinn from his attackers for a price. Porsche's martial…",14 episodes,8.0
125,#4980,TharnType,Thai Drama - 2019,"Type Thiwat is a handsome freshman with a passion for soccer and spicy food. Although he’s a friendly boy, he hates gay people because, in his childhood, he was molested by a man. His life turns upside down when the…",12 episodes,7.6
126,#1059,A Love So Beautiful,Chinese Drama - 2017,"It starts off with high school classmates Chen Xiao Xi and Jiang Chen who are also neighbors. Xiao Xi, a cheerful girl who doesn't study much, is expressive about her admiration towards Jiang Chen, the popular guy known…",23 episodes,8.3
127,#1402,Semantic Error,Korean Drama - 2022,"Chu Sang Woo is a junior computer science majoring student who prizes reason, rules, and a rigid sense of what is right above all else. As part of his university work, he is told to work on a group project for the liberal…",8 episodes,8.2
128,#26,Hospital Playlist Season 2,Korean Drama - 2021,"Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.

(Source: Netflix)",12 episodes,9.1
129,#156,Taxi Driver,Korean Drama - 2021,"Do Gi has lived more honestly than anyone else as an officer in the Special Forces. Yet, when a serial killer murders his mother, he spends his days in agony. While feeling wronged and broken, Do Gi meets Jang Sung Chul,…",16 episodes,8.8
130,#86,Alchemy of Souls Season 2: Light and Shadow,Korean Drama - 2022,"Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom.…",10 episodes,8.9
131,#159,Queen of Tears,Korean Drama - 2024,"Baek Hyun Woo, who is the pride of the village of Yongduri, is the legal director of the conglomerate Queens Group, while chaebol heiress Hong Hae In is the “queen” of Queens Group’s department stores. “Queen…",16 episodes,8.8
132,#2065,My Girlfriend Is a Gumiho,Korean Drama - 2010,"Cha Dae Woong is a carefree university student who dreams of becoming a famous actor. He is an orphan whose wealthy grandfather Cha Poong and single aunt Cha Min Sook take care of him. However, Dae Woong and his grandfather…",16 episodes,8.0
133,#4359,My First First Love,Korean Drama - 2019,"A group of Yoon Tae Oh’s friends suddenly move into his house for their own personal reasons, where they experience love, friendships, and struggles. Song I and Tae Oh have been friends since they were three years…",8 episodes,7.7
134,#475,Age of Youth,Korean Drama - 2016,"Five girls in their twenties come to live together in a house called ""Belle Epoque,"" which means ""a beautiful time"" in French. Each girl has a particular personality, background, and issues. In addition to the five girls,…",12 episodes,8.5
135,#773,Snowdrop,Korean Drama - 2021,"In 1987, a bloody man jumps into a women’s university dormitory in Seoul. Young Ro, a female university student who falls in love with him at first sight on a group blind date, takes care of him despite the strict…",16 episodes,8.4
136,#979,Search: WWW,Korean Drama - 2019,"This drama delves into the challenges and triumphs of modern women who have chosen career over traditional family roles. Bae Ta Mi, a competitive director at a major web portal company in her late 30s, questions the…",16 episodes,8.3
137,#1522,Until We Meet Again,Thai Drama - 2019,"Thirty years ago, Korn and Intouch were university students in Bangkok. Intouch entered Korn's life despite knowing that he was the son of one of the most influential crime bosses in Bangkok. At first, Korn pushed Intouch…",17 episodes,8.2
138,#135,Mouse,Korean Drama - 2021,"A suspenseful story that asks the key question, “What if we could identify psychopaths in advance?” A crazed serial killer’s ruthless murders have left the entire nation gripped with fear, and chaos reigns. Justice-seeking…",20 episodes,8.8
139,#789,Hello Monster,Korean Drama - 2015,"Genius profiler Lee Hyun, returns home to Korea after something from a case he’s been sent triggers a memory he thought he’d lost forever. Unbeknownst to him, one of his team members, Detective Cha Ji An, has been…",16 episodes,8.4
140,#1634,Fated to Love You,Korean Drama - 2014,"Mi Yeong is a typical office clerk who is rather plain, somewhat awkward and has her good nature taken advantage of by her co-workers on a daily basis. While on vacation, she accidentally spends one night with a stranger…",20 episodes,8.1
141,#309,Chicago Typewriter,Korean Drama - 2017,This drama follows the lives of two men and a woman through two eras: one during the 1930s Japanese occupation of Korea and the other in the 21st century. The three main characters are: (1) Han Se Joo was a writer in…,16 episodes,8.6
142,#449,Big Mouth,Korean Drama - 2022,"Park Chang Ho is known since his school days as ""Big Mouth"" because he talks big and promises big things but can not follow it up. He is also an infamous lawyer with a very low rate of success who was hired by a Mayor…",16 episodes,8.5
143,#1210,The Smile Has Left Your Eyes,Korean Drama - 2018,"A TV series centered around the unfolding relationship between free and unpredictable yet dangerous Kim Moo Young, who is called a ""monster"". He is the first assistant in a Korean beer brewery who becomes a suspect when…",16 episodes,8.2
144,#1032,The Tale of Nokdu,Korean Drama - 2019,"Jeon Nok Du lives on an island with his father and older brother. He is smart and a good swordsman. Since he was little, his father did not let him study or go to the mainland. One day, his father and older brother are…",32 episodes,8.3
145,#4748,Melting Me Softly,Korean Drama - 2019,"In this drama, Ma Dong Chan, a renowned producer in the entertainment industry, and Go Mi Ran, a part-timer struggling with family debts, become participants in the ""24-Hour Frozen Human Project."" This experiment was…",16 episodes,7.6
146,#5205,To the Beautiful You,Korean Drama - 2012,"Tae Joon became Jae Hee’s strength during her toughest time, and she leaves the US for Korea to enroll in a men’s physical education high school to help Tae Joon restart his high jump career. Tae Joon announces his…",16 episodes,7.6
147,#5137,Heartstrings,Korean Drama - 2011,"Lee Shin is a university student majoring in modern music. He is the vocalist of the band ""The Stupid"" and also plays the guitar. He is known for his good looks and his strong passion for music but is in reality a cold…",15 episodes,7.6
148,#983,100 Days My Prince,Korean Drama - 2018,"Lee Yul, Crown Prince of Joseon, is a perfectionist who disregards most royal palace nobles. His cold and demanding demeanor masks deeply-rooted loneliness. He comes to pass a law stating that Korean citizens of marriageable…",16 episodes,8.3
149,#749,When the Camellia Blooms,Korean Drama - 2019,"Dong Baek is a single mother living in the small town of Ongsan. She runs the bar-restaurant Camellia, while also taking care of her son Pil Gu. The people of Ongsan frequently gossip about Dong Baek. She grew up as…",40 episodes,8.4
150,#1203,Lawless Lawyer,Korean Drama - 2018,"Whatever gets the job done. Bong Sang Pil grew up living the gangster life, full of tough physical fights and evading the law. When his mother dies a tragic death, he is determined to avenge her death. Sang Pil becomes…",16 episodes,8.2
151,#793,Bad Buddy,Thai Drama - 2021,"Ever since they were young, Pran and Pat's families had a deep and raging rivalry, trying to one-up each other on everything. This also extended to their sons. Comparing their sons' achievements and merits,—whether…",12 episodes,8.4
152,#4548,Clean with Passion for Now,Korean Drama - 2018,"Jang Sun Gyeol has wealth and good looks but suffers from severe mysophobia. He is obsessed with cleaning and even owns a cleaning company. However, he meets a carefree and untidy girl named Gil Oh Sol after she enters…",16 episodes,7.6
153,#34,Lovely Runner,Korean Drama - 2024,"In the glitzy realm of stardom, Ryu Seon Jae shines as a top-tier celebrity, captivating the spotlight since his debut. Despite the facade of a perfect life, the demanding nature of the entertainment industry has left…",16 episodes,9.1
154,#779,See You in My 19th Life,Korean Drama - 2023,"Ban Ji Eum has an extraordinary ability: she can remember the memories of all her past lives. Repeating her reincarnation for nearly a thousand years, Ban Ji Eum has been living all her lives diligently. After her previous…",12 episodes,8.4
155,#470,Marry My Husband,Korean Drama - 2024,"Kang Ji Won is married to Park Min Hwan, but their marriage is troubled due to Min Hwan's selfishness and his demanding mother. Ji Won is the primary breadwinner for the family, while Min Hwan is unemployed and in debt.…",16 episodes,8.5
156,#1664,Rooftop Prince,Korean Drama - 2012,"Crown Prince Yi Gak finds that he has been transported from the Joseon Dynasty to modern-day Seoul. He meets Hong Se Na, who bears a striking resemblance to his dead wife, and is determined to solve the 300-year-old…",20 episodes,8.1
157,#1730,Shopping King Louie,Korean Drama - 2016,"The romantic comedy series “Shopping King Louie” revolves around a handsome shopaholic named Louis, who is the successor of a vast business empire but becomes homeless after suffering from amnesia. Meanwhile, Go…",16 episodes,8.1
158,#266,The Penthouse: War in Life,Korean Drama - 2020,"The residents of Hera Palace, a luxury penthouse apartment with 100 floors, have many secrets and hidden ambitions. Sim Su Ryeon, who was born into wealth, is the queen of the penthouse apartment. Cheon Seo Jin, the…",21 episodes,8.7
