Web Series Rank,Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
#117,D.P. Season 2,Korean Drama - 2023,6 episodes,"This unfolding story ensues when military desertion arrest squad members (DP), Jun Ho and Ho Yeol, run across absurdities and unchangeable reality on a regular basis. (Source: Namuwiki; Edited by Krystale Mitaesa at…",8.7
#118,The Penthouse: War in Life,Korean Drama - 2020,21 episodes,"The residents of Hera Palace, a luxury penthouse apartment with 100 floors, have many secrets and hidden ambitions. Sim Su Ryeon, who was born into wealth, is the queen of the penthouse apartment. Cheon Seo Jin, the…",8.7
#119,Ultimate Note,Chinese Drama - 2020,37 episodes,"Wu Xie and Wang Pan Zi are trying to find out what really happened during The Mystic Nine's trip to Parcel Island while also curious about his uncle’s past. Weighing heavily on his heart though, is the disappearance…",8.7
#120,"Kill Me, Heal Me",Korean Drama - 2015,20 episodes,"A traumatic childhood experience leaves Cha Do Hyeon, suffering from memory loss and dissociation. The latter has resulted in the creation of seven distinct personalities. Wanting to regain control over his life, he…",8.7
#121,Business Proposal,Korean Drama - 2022,12 episodes,"Shin Ha Ri is a single woman who works for a company. She has a male friend, who she has had a crush on for a long time, but she learns he has a girlfriend. Shin Ha Ri feels sad and decides to meet her friend Jin Young…",8.7
#122,The Long Ballad,Chinese Drama - 2021,49 episodes,"In the year 626 C.E., the Tang Dynasty faces upheaval following the successful Xuanwu Gate Incident, a coup orchestrated by a cunning prince. During the chaos, Li Chang Ge's family is slaughtered, but she manages to…",8.7
#123,The First Responders,Korean Drama - 2022,12 episodes,"Follow the joint operations of a police force and a fire department, who together will tell a thrilling story. Fierce detective Jin Ho Gae is all about catching low-lifes. He solves cases with his excellent ability to…",8.7
#124,The King of Pigs,Korean Drama - 2022,12 episodes,Two friends meet up and recall their experiences as victims of school bullying when they receive a message from a friend from 20 years ago and mysterious serial killings begin to occur. Kyung Min lives with the trauma…,8.7
#125,Dr. Romantic,Korean Drama - 2016,20 episodes,Kim Sa Bu was once a famous surgeon at the peak of his career at a major hospital. But he suddenly gives it all up one day to live in seclusion and work as a neighborhood doctor in a small town. He now goes by “Teacher…,8.7
#126,My Name,Korean Drama - 2021,8 episodes,"Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction. Yoon Ji Woo, a member of a organized crime ring, goes undercover as a…",8.7
#127,Our Beloved Summer,Korean Drama - 2021,16 episodes,"Years after filming a viral documentary in high school, two bickering ex-lovers get pulled back in front of the camera — and into each other's lives. Choi Woong seems naive and a free-spirited man, but he wants to…",8.7
#128,Who Rules the World,Chinese Drama - 2022,40 episodes,"Hei Feng Xi is handsome and elegant, while Bai Feng Xi is majestic and unrestrained. Opposites attract as both are unrivaled in skill and intellect. Caught in the warfare and chaos of the martial arts and political worlds,…",8.7
#129,Jewel in the Palace,Korean Drama - 2003,54 episodes,"About 500 years ago during the time of Chosun Dynasty, Korea boasted a rigidly hierarchical and male dominated social structure. Based on a true story about a legendary girl, Jang Geum, who became the first woman to…",8.7
#130,Flex X Cop,Korean Drama - 2024,16 episodes,"Jin Yi Soo has everything in life. Being a third-generation conglomerate, he never requires others’ assistance. However, things start changing when he gets entangled in a case. Jin Yi Soo joins the violent investigative…",8.7
#131,One and Only,Chinese Drama - 2021,24 episodes,"Zhou Sheng Chen was raised by his brother, the Emperor, until the age of thirteen, when he set out to defend the border and establish himself as a loyal and accomplished general. Cui Shi Yi, the well-read daughter of…",8.6
#132,Strangers from Hell,Korean Drama - 2019,10 episodes,"Yoon Jong Woo is a young guy in his 20s who moves from the countryside to Seoul after his college friend, Jae Ho, offers him a job. While looking for a place to live, he stumbles upon Eden Gosiwon, a cheap hostel that…",8.6
#133,To the Wonder,Chinese Drama - 2024,8 episodes,"Li Wen Xiu, a Han girl who grew up in a small town in Altay, is determined to pursue her literary dream in a big city. However, she repeatedly faces obstacles and is forced to return to her hometown, where she relies…",8.7
#134,18 Again,Korean Drama - 2020,16 episodes,"Jung Da Jung and Hong Dae Young have been married for almost two decades, raising their twins together. Despite appearances, their life is far from ideal, filled with Dae Young's incessant nonsense. When he gets fired…",8.6
#135,New Life Begins,Chinese Drama - 2022,40 episodes,"Because of a marriage selection, girls from all over the world gather in Xin Chuan. Yin Zheng, one of the six young masters of Xin Chuan, who keeps a low profile, and Li Wei, who just wants to work hard and not get selected,…",8.6
#136,Chicago Typewriter,Korean Drama - 2017,16 episodes,This drama follows the lives of two men and a woman through two eras: one during the 1930s Japanese occupation of Korea and the other in the 21st century. The three main characters are: (1) Han Se Joo was a writer in…,8.6
#137,Revenant,Korean Drama - 2023,12 episodes,"When the door to another world opens, demons exist there. Ku San Young is possessed by one of those demons. Yeom Hae Sang can see the demon which has possessed Ku San Young. They try to figure out the truth behind the…",8.7
#138,Misaeng: Incomplete Life,Korean Drama - 2014,20 episodes,"Jang Geu Rae has played the game of Go since he was a child. When his plans of becoming a professional Go player fail, the down-and-out Geu Rae is forced to take an office job as an intern set up for him by an acquaintance’s…",8.6
#139,Lighter & Princess,Chinese Drama - 2022,36 episodes,"Li Xun is a cold, calculating computer programming ace who entered college as the top scorer of the national college entrance exams, earning him the admiration of all his classmates. However, he is not interested in…",8.6
#140,The Kidnapping Day,Korean Drama - 2023,12 episodes,Kim Myung Joon is a poor man with a warm heart. He desperately needs money to pay for his sick daughter's operation. His ex-wife suggests he kidnap a child with rich parents. Kim Myung Joon is desperate enough to accept…,8.6
#141,Unnatural,Japanese Drama - 2018,10 episodes,Unnatural is a case-of-the-week medical mystery show; its main theme is the change of reality brought upon by imminent death of a loved one. Mystery and exhilarating human drama unfold against the backdrop of the “unnatural…,8.7
#142,Bloodhounds,Korean Drama - 2023,8 episodes,"When reserved rookie boxer Kim Geon Woo squares off against loquacious southpaw Hong Woo Jin, Geon Woo narrowly prevails — but the two former marines become fast friends. As their friendship grows, so do the financial…",8.6
#143,Hot Stove League,Korean Drama - 2019,16 episodes,"About the preparation period of a major league baseball team. The drama focuses on a loser team that prepares for an extraordinary season upon the arrival of their new general manager, and each episode will focus on…",8.6
#144,Our Blues,Korean Drama - 2022,20 episodes,"""Our Blues"" takes on an omnibus-style drama, which tells the story of diverse characters that are somewhat interconnected, in one way or the other. Lee Dong Suk, a guy born on the beautiful island of Jeju, selling goods…",8.6
#145,Lost You Forever,Chinese Drama - 2023,39 episodes,"The world of Dahuang was once divided into three kingdoms: Xiyan, Chenrong, and Haoling. Xiyan and Chenrong were at war, and General Chi Chen led the forces of Chenrong. At the last minute, the daughter of Xiyan’s…",8.6
#146,"3 Nen A Gumi: Ima kara Mina-san wa, Hitojichi Desu",Japanese Drama - 2019,10 episodes,"With graduation 10 days away, homeroom teacher Hiiragi gathers all 29 students of class 3-A and proclaims them as his hostages. His last lesson regards the death of a student that passed away a few months before. Nobody…",8.6
#147,The Fiery Priest,Korean Drama - 2019,40 episodes,"Kim Hae Il is a Catholic priest. He makes spiteful remarks, and he can be rude to others. Koo Dae Young is a detective. He talks a lot, and he is also timid. Park Kyung Sun is a prosecutor. She is smart and beautiful.…",8.6
#148,Tunnel,Korean Drama - 2017,16 episodes,"In 1986, Park Gwang Ho works as an excellent and enthusiastic detective. His life changes when he’s pursuing leads in a serial homicide case and then passes through a time portal, which transports him to present day…",8.6
#149,Hanzawa Naoki,Japanese Drama - 2013,10 episodes,"An idealistic banker takes on corruption and wrongdoing at his large corporate bank. While forging ties with some unlikely allies, he must use his financial expertise, his instincts about human nature, and his skills…",8.6
#150,Descendants of the Sun,Korean Drama - 2016,16 episodes,A love story that develops between a surgeon and a special forces officer. Kang Mo Yeon is a pretty and assertive woman who works as a cardiothoracic surgeon at Haesung Hospital. She isn't afraid to admit her mistakes…,8.6
#151,The Worst of Evil,Korean Drama - 2023,12 episodes,"Set in Seoul in the 1990s, a former DJ starts selling a new powerful drug nicknamed ""Gangnam Crystal"" in city nightclubs after mastering a gangster organization. Since the police know little about the origin of such…",8.6
#152,Hotel del Luna,Korean Drama - 2019,16 episodes,"Nestled deep in the heart of Seoul’s thriving downtown sits a curious hotel, the like of which no one has ever seen before. Old beyond measure, the building has stood for millennia, an ever-present testament to the…",8.6
#153,Falling into Your Smile,Chinese Drama - 2021,31 episodes,"In the ultra-competitive world of e-sports, the all-male ZGDX OPL team is second to none. Armies of adoring female fans follow the team wherever it goes. But when one of the team’s star players suffers a hand injury,…",8.6
#154,Winter Begonia,Chinese Drama - 2020,49 episodes,"A story that revolves around a Peking opera performer and a wealthy businessman who are brought together by their love for Peking opera. Set in the 1930's, it follows Shang Xi Rui, a Peking opera performer who relies…",8.6
#155,Missing: The Other Side,Korean Drama - 2020,12 episodes,"A village holds the spirits of missing, deceased people. A search to find the missing bodies and discover the truth behind their disappearance occurs. Kim Wook is a smooth talker and a good-looking man. He commits fraud…",8.6
#156,The Bad Kids,Chinese Drama - 2020,12 episodes,"A story that follows three children from a coastal town who unintentionally film a murder scene. As the kids become involved with the suspect, it opens up a case that is far more complicated than it looks and entraps…",8.6
#157,You Are My Hero,Chinese Drama - 2021,40 episodes,Freshly graduated doctor Mi Ka was at a jewellery store to purchase a gift for her parents when a jewel heist by armed robbers occurred. A special SWAT team was deployed to take control of the situation and this was…,8.6
#158,Mother,Japanese Drama - 2010,11 episodes,"Elementary school teacher Suzuhara Nao decides to abduct Michiki Rena, one of her female students, after discovering that she is being abused by her mother. Fleeing Hokkaido to Tokyo, the two experience various events…",8.6
#159,Till the End of the Moon,Chinese Drama - 2023,40 episodes,"In an era when demons have dominion over cultivators and mortals, the cultivator elders believe it is imperative to send someone back in time to discover the origin of the demon lord and prevent his resurrection. Li…",8.6
